claim_id	previous_status	proposed_status	disposition	registry_row_sha256	rationale
NS-TILT	H	H	PRESERVE_EXACT_ROW	214904a6392bd2cc6cde8985663bd4629b8fa8981a33f0ce66652710f4a50b57	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
DE-CONFORMAL-WEIGHT	O	O	PRESERVE_EXACT_ROW	b12884427e7e516b8c61ad34781c58c955824584da6f818c48e88998f9a9bf0e	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
ALPHA-S-RUNNING	O	O	PRESERVE_EXACT_ROW	026e0a57a4447b54750bbaad780a95728a273629746fee75bbf1d026a69ebe1f	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
SCHEME-DICTIONARY	O	O	PRESERVE_EXACT_ROW	73b612268745a4433a3343d1736f312dbd8ae44ea775aae9d8f76199e3aa9fa6	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
GENERATIONS-L3	O	O	PRESERVE_EXACT_ROW	7d01d090c3ff83a35fcd1e4e266ad9dca55bd17bf86871f80dcdcc75ee790979	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
NEUTRON-DELTA-EM	O	O	PRESERVE_EXACT_ROW	926196cac808367d12c680b0797b77db280638d4a74d4fc0357f258d67e9c821	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
PROTON-RESIDUAL-IS-QCD	O	O	PRESERVE_EXACT_ROW	3548119c4ce0697d7ed941169bc574c15e9ea46098877dae45c7a1ba4d144803	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
SQRT-PHI-TIME-GRAVITY	O	O	PRESERVE_EXACT_ROW	7519654ddb3992cfade959e855d45751df97aa85522206a5b93f006069fb7191	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
ENTROPY-LAYER-BRIDGE	O	O	PRESERVE_EXACT_ROW	da8fe689705b280296eb956f46697f567ca50f94398097e5eeae92f60e7ec9dd	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
LAMBDA-COCYCLE-ANGLES	H	H	PRESERVE_EXACT_ROW	be32089ff27c42e5f4e5a29ebdaeb7006213a86a257ae42a233601e9c920b464	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
METRO-REDUCTION-CALCULUS	O	O	PRESERVE_EXACT_ROW	267f31c979dd68c161f6f465d25ee2af037498912cf4af78532d93b76fbb9a3e	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
METRO-ADMISSIBILITY-DIM	O	O	PRESERVE_EXACT_ROW	808a52b918ad4550efea980b552fccef7d568c8f7fc4ca6e186f73085fbdf19e	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
MINIMAL-READ-DERIVATION	O	O	PRESERVE_EXACT_ROW	534b55d37d0a1e06664bac58810407b2db9457c1b3970959619e9ba935c7851d	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
QDD-INSTRUMENT-APPARATUS	O	O	PRESERVE_EXACT_ROW	229642e8aebed054001d722d4bc439689a9db795d309b471ecb009dcc51491cd	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
BELL-CAUSAL-ACCOUNTING	O	O	PRESERVE_EXACT_ROW	ce1ca4859fb115e0f4884023b3a506d9388afc6dd194fdb7bc6d5a2f59afe62b	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
TRACEKERNEL-CURVATURE-FORCING	O	O	PRESERVE_EXACT_ROW	b5b15b6d5ece09bd6bbd93b84d525c5f50f1ac71377f984a5861c4e833df8006	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
PHOTON-CONE-CONVERGENCE	O	O	PRESERVE_EXACT_ROW	7565d2b9083a5ac91e162522eb772b12980d26caf784d6c7f3106e93751586c6	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
PHOTON-MASSLESS-PHASE	O	O	PRESERVE_EXACT_ROW	0744c63dd68e122badf5ce54bfb64279287c193923bc16491fd4f5479200d5b5	No scope, dependency-owner, evidence, falsifier or status change is proposed; none of the three new conditional L1 results satisfies the complete existing closure clause.
