branch	disposition	abandoned_pin	has_prereg	has_result	verification	result_file	note
notes/c-qdd-instrument-dilation-1-n	ARCHIVE	0	0	1	single-pass	notes/canon/C-QDD-INSTRUMENT-DILATION-1-N.md	-
notes/c-qdd-u-induced-null-anatomy-1-n	FOLD	0	0	1	single-pass	notes/C-QDD-U-INDUCED-NULL-ANATOMY-1-N/C-QDD-U-INDUCED-NULL-ANATOMY-1-N.md	-
notes/c-rh-hadamard-horizontal-source-1-n	FOLD	0	1	1	single-pass	notes/C-RH-HADAMARD-HORIZONTAL-SOURCE-1-N/RESULT.md	-
notes/c-rh-hadamard-weil-cayley-1-n	FOLD	0	1	1	single-pass	notes/C-RH-HADAMARD-WEIL-CAYLEY-1-N/RESULT.md	-
notes/c-rh-ray-finite-window-certificate-1-n	FOLD	0	1	1	single-pass	notes/C-RH-RAY-FINITE-WINDOW-CERTIFICATE-1-N/EXPECTED.txt	-
notes/c-rh-ray-finite-window-certificate-2-n	ABANDON	1	1	0	direct	-	gate executed but never completed: pinned wrapper failed on import before the engine ran. Closing record quotable from notes/c-rh-ray-finite-window-certificate-3-n RESULT.md section 5; fold -3-N first
notes/c-rh-ray-finite-window-certificate-3-n	FOLD	0	1	1	single-pass	notes/C-RH-RAY-FINITE-WINDOW-CERTIFICATE-3-N/RESULT.md	-
notes/c-rh-stieltjes-widder-euler-1-n	FOLD	0	1	1	single-pass	notes/C-RH-STIELTJES-WIDDER-EULER-1-N/RESULT.md	-
notes/c-rh-weil-norm-junction-1-n	RETARGET	1	1	0	direct	-	owner ruling 2026-08-24: content RETARGET, old identifier consumed with a terminal ABANDONED record that preserves achieved candidate results and manufactures no J7 verdict; decision bar J7 never reached; issue #374 stays open until that record merges; see notes/V63-CLEANUP-SCOPE.md
notes/c-rh-widder-angle-sweep-correction-1-n	ABANDON	1	1	0	adversarial	-	-
notes/c-split-unit-1	FOLD	0	1	1	single-pass	notes/C-SPLIT-UNIT-1/RESULT-C-SPLIT-UNIT-1_2026-08-01.md	-
notes/c-suzuki-local-capacity-nogo-1	ARCHIVE	0	1	1	single-pass	notes/C-SUZUKI-LOCAL-CAPACITY-NOGO-1/RESULT.md	-
notes/c-tm-sym2-hadamard-character-1-n	FOLD	0	1	1	adversarial	notes/C-TM-SYM2-HADAMARD-CHARACTER-1-N/RESULT.md	-
notes/c-tm-sym2-nchar-born-carrier-1-n	FOLD	0	1	1	adversarial	notes/C-TM-SYM2-NCHAR-BORN-CARRIER-1-N/RESULT.md	-
notes/c-tm-sym2-orientation-source-1-n	ARCHIVE	0	1	1	single-pass	notes/C-TM-SYM2-ORIENTATION-SOURCE-1-N/RESULT.md	-
notes/c-tm-sym2-oriented-born-junction-1-n	ARCHIVE	0	1	1	single-pass	notes/C-TM-SYM2-ORIENTED-BORN-JUNCTION-1-N/RESULT.md	-
notes/c-tt-vector-moment-underdetermination-1	ARCHIVE	0	1	1	single-pass	notes/C-TT-VECTOR-MOMENT-UNDERDETERMINATION-2/RESULT.md (and notes/C-TT-VECTOR-MOMENT-UNDERDETERMINATION-1/RESULT.md)	-
notes/canon-v39-lambda-cocycle	ARCHIVE	0	0	0	single-pass	-	-
notes/census-v2-and-photon-lane	FOLD	0	0	1	adversarial	notes/photon-lane/RECON-PHOTON-TRANSFER-DATA_2026-08-05.md	-
notes/entropy-selection-recon	ARCHIVE	0	1	1	single-pass	notes/entropy_selection/MACKEY4-PRIMARY-RESULT.md	-
notes/entropy-selection-recon-breaker-m2	RETARGET	0	1	1	direct	notes/entropy_selection/RESULT-BREAKER-MACKEY4-1.md	carries a SECOND abandoned identifier: notes/entropy_selection/PREREG-BREAKER-MACKEY4-2.md has no result on any of the 203 refs; owes its own ABANDONED record
notes/j-li-ra0-frobenius-square	FOLD	0	0	1	adversarial	notes/C-J-LI-RA0-FROBENIUS-SQUARE/RA0_FROBENIUS_SQUARE.md	-
notes/lean-twistj-algebraic-seed-4	FOLD	0	0	1	adversarial	notes/lean-twistj-algebraic-seed/README.md	-
notes/lean-twistj-foundations-1	ARCHIVE	0	0	1	single-pass	notes/lean-twistj-foundations/README.md	-
notes/lean-twistj-layer-typing-3	FOLD	0	0	1	adversarial	notes/lean-twistj-foundations/README.md	-
notes/lean-twistj-observation-2	ARCHIVE	0	0	1	single-pass	notes/lean-twistj-foundations/README.md	-
notes/p-curvature-operator-canonical-1-aut-reduction	ARCHIVE	0	0	1	single-pass	notes/canon/P-CURVATURE-OPERATOR-CANONICAL-1-AUT-REDUCTION.md	-
notes/p-curvature-operator-canonical-1-parent-surface-2	ARCHIVE	0	0	0	single-pass	-	-
notes/p-dmatter-total-1-direct-readout	ARCHIVE	0	0	1	single-pass	notes/canon/P-DMATTER-TOTAL-1-DIRECT-READOUT.md	-
notes/p-dmatter-total-1-owner-decision-input	ARCHIVE	0	0	1	single-pass	notes/canon/P-DMATTER-TOTAL-1-OWNER-DECISION-INPUT.md	-
notes/p-metro-class-1-fork-witness	ARCHIVE	0	0	1	single-pass	notes/canon/P-METRO-CLASS-1-FORK-WITNESS.md	-
notes/p-metro-class-1-ruling-amendment-1-draft	ARCHIVE	0	0	0	single-pass	-	-
notes/record-crt-idempotent-and-v60-manifest-draft	ARCHIVE	0	1	1	single-pass	notes/C-RECORD-CRT-IDEMPOTENT-1/C-RECORD-CRT-IDEMPOTENT-1.md	-
notes/rh-suzuki-consolidation-20260813	ARCHIVE	0	1	1	adversarial	notes/C-SUZUKI-LOCAL-CAPACITY-NOGO-1/RESULT.md	-
ops/board	ARCHIVE	0	0	0	direct	-	orphan: unrelated history, 8 files, no pin, no result
prep/canon-v61-build-export	ARCHIVE	0	0	0	single-pass	-	-
prep/canon-v61-evidence-hashes	ARCHIVE	0	0	0	single-pass	-	-
prep/canon-v62-build-export	ARCHIVE	0	0	0	single-pass	-	-
prep/v39-pretag-review-fix	ARCHIVE	0	0	0	single-pass	-	-
probe/P-A3-FCC-POINT-GROUP-1	ABANDON	1	1	0	adversarial	-	-
probe/P-C20-TEICHMULLER-SPLIT-1	ARCHIVE	0	1	1	adversarial	probes/P-C20-TEICHMULLER-SPLIT-1/RESULT.md	-
probe/P-CARRY-ARITY-CIRCUIT-1	FOLD	0	1	1	adversarial	probes/P-CARRY-ARITY-CIRCUIT-1/RESULT.md	-
probe/P-CARRY-QUADRATIC-SYMMETRY-1	ARCHIVE	0	1	1	single-pass	probes/P-CARRY-QUADRATIC-SYMMETRY-1/RESULT.md	-
probe/P-FINITE-PRIME-SUPPORT-DILATIONS-1	ABANDON	1	1	0	adversarial	-	-
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-1	ABANDON	1	1	0	adversarial	-	-
probe/P-J-ODD-MOTOR-MEDIATED-BRIDGE-COVERAGE-1	ABANDON	1	1	0	adversarial	-	-
probe/P-PAULI-CARRIER-ALGEBRA-1	ABANDON	1	1	0	adversarial	-	-
probe/P-QDD-COMMUTATOR-READOUT-FORK-1	ABANDON	1	1	0	adversarial	-	-
probe/P-QDD-FRESH-RECORD-NOFEEDBACK-1	ABANDON	1	1	0	adversarial	-	gate executed once and exited nonzero on a verifier fixture defect; successor -2 discloses it on main
probe/P-QDD-IDEMPOTENCE-DOMINATES-FORK-1	ABANDON	1	1	0	adversarial	-	-
probe/P-QDD-IDEMPOTENCE-DOMINATES-FORK-2	ABANDON	1	1	0	adversarial	-	-
probe/P-QDD-INSTRUMENT-U-INDUCED-2	ARCHIVE	0	0	0	single-pass	-	-
probe/P-QDD-RECORD-MONOID-DESCENT-1	ABANDON	1	1	0	adversarial	-	-
release/canon-v28	ARCHIVE	0	0	0	single-pass	-	-
release/canon-v29	ARCHIVE	0	0	0	single-pass	-	-
release/canon-v53	ARCHIVE	0	0	0	single-pass	-	-
release/canon-v56	ARCHIVE	0	0	0	single-pass	-	-
