claim_id	status	debt	relation	verifier_verdict	registry_quote
ENTROPY-LAYER-BRIDGE	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	closes positively exactly when A_A is proved nonempty by one exhibited exact map; closes negatively only by a complete theorem A_A=empty; failure of one proposed map is STOP
FRW-INHOM	O	C2-FREEZE-CLASSIFY-DECIDE	construction	CONFIRMED	an inhomogeneous source construction that reproduces the public FRW-CANONICAL-FORM identities in the homogeneous limit
METRO-ADMISSIBILITY-DIM	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	STOP while any type, endpoint, certificate field, reduction, completeness proof, boundary theorem, or effective modulus is incomplete
METRO-REDUCTION-CALCULUS	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	closes positively when every forbidden entry has an exact witness, common q^k blocking and decision and terminal-value transport are decided, and approx_red is complete for the registered class
MINIMAL-READ-DERIVATION	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	STOP while decoder completion, the complete class, cover-to-output map, redundancy rule, accumulator, graph, or layer typing is incomplete
NEUTRON-DELTA-EM	O	C4-SUBSTRATE-DYNAMICS	species	CONFIRMED	the interior compression channel of the neutron electromagnetic delta
PROTON-RESIDUAL-IS-QCD	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	a future frozen QCD carrier and action, output carrier, residual codomain, normalization, equality, inference schema
QDD-INSTRUMENT-CLASS-COMPLETENESS	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	explicitly classify finite and unbounded memory, nonlinear, mixed, irrational and differently typed architectures and freeze equality on whole apparatus families
QDD-TERMINAL-EVENT-SEMANTICS	O	C1-EVENT-LAW	species	CONFIRMED	an independent public law, dynamics or dictionary owns the complete record and equality and makes physical event completion imply the exact relevant saturation
QNM-LEAVER-MU	O	C3-EXACT-TO-MEASURED	convention	CONFIRMED	a public inference rule maps an external shadow measurement to a preregistered mu interval
QUANT-SUBSTRATE	O	C4-SUBSTRATE-DYNAMICS	species	CONFIRMED	deriving it as [alpha^1]((g_e(alpha)-2)/2) from a substrate coupling remains open
SQRT-PHI-TIME-GRAVITY	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	STOP until the source domain, branch equivalence or selector, pre-update versus post-update convention, Y-to-D_clock map, gravity source/readout codomain, equality, and dependencies are frozen
TRACEKERNEL-CURVATURE-FORCING	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	STOP while the carrier, measure, projection group, commutator choice, admissible class, equivalence, completeness or layer bridge is unfixed or inexact
TT-SOURCE	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	the emission map from an explicitly defined public source object
TT-VECTOR-STATE-NORMALIZATION	O	C2-FREEZE-CLASSIFY-DECIDE	pattern	CONFIRMED	an admissible normalization must therefore freeze fourth-moment data, the complete state or an explicit non-Gaussian closure rule
DE-W-CONSTANT	H	STANDALONE	standalone	CONFIRMED	fires if a carrier release (DESI, DES, Euclid, CMB-S4) excludes w = -14/15 at or above the 99 percent credible level in its headline constant-w fit
GENERATIONS-L3	O	STANDALONE	standalone	CONFIRMED	closes positively by deriving the generation count at the L3 boundary layer; closes negatively if the derived count differs from three
LAMBDA-COCYCLE-ANGLES	H	STANDALONE	standalone	CONFIRMED	such a v exists if and only if RH holds and every Cayley angle 2 arctan(1/(2 gamma)) lies in 2 pi (1/4) Z[1/5]
NS-TILT	H	STANDALONE	standalone	CONFIRMED	live: the tilt n_s - 1 = -5 alpha fails against CMB-S4
QUADRATIC-DECODER-DATA	O	STANDALONE	standalone	CONFIRMED	closes positively only when exact factor maps through Q produce every frozen D_matter field with exact normalization and an acyclic complete dependency graph
